caseid,track_name,raw_relative_path,raw_byte_count,raw_sha256,checksum_verified
295,Orchestra/PPF20_RATE,cases/295/ppf20_rate.signal,427381,44ab726b7e3a572ea31d8065592f6c7bd9b3daba136d7bb726012e136a2ce797,true
295,Orchestra/RFTN20_RATE,cases/295/rftn20_rate.signal,404303,02f0fff744d70b36ed9d775c775210fa7438b7a9d935de676a58727b805a61cb,true
297,BIS/BIS,cases/297/bis.signal,138489,8b968c80fa37db883adaaa0b1c3d0048d2a97815fb9e60c0077c4697d466bd73,true
297,BIS/SQI,cases/297/bis_sqi.signal,136938,eefffc1b426fae6856d177a799f4816744592a4d2706f58ae043aafa6c0e5874,true
297,Orchestra/PPF20_RATE,cases/297/ppf20_rate.signal,519642,3cce5c10d3c501bde82ebf6370167a593ea870ab3c1e27f608bf7fe98bf3657a,true
297,Orchestra/RFTN20_RATE,cases/297/rftn20_rate.signal,529290,c373e8ac5115088d195bcb2f7ff0bda9b7ed042194ce00a0ddbff0d51d289ad1,true
298,BIS/BIS,cases/298/bis.signal,80925,267b82072a6db368a91f8b5ed8a320ff80c75c3e2c27472ad7f706da4341aa7c,true
298,BIS/SQI,cases/298/bis_sqi.signal,80799,af4de7e8e5fc8328828a1a5fa83d9fbd4b889ebf7ff7e66da31cbae3873d8168,true
298,Orchestra/PPF20_RATE,cases/298/ppf20_rate.signal,271228,b4b3f19f8870e0c49a545b6580f1eecd7d2c1dc523acba48c0b1c692259ce7a6,true
298,Orchestra/RFTN20_RATE,cases/298/rftn20_rate.signal,276127,6e5b5918fb9dbbe90a1686cbc77b80f43cb83a42f41acc039f9d330c5494b076,true
301,BIS/BIS,cases/301/bis.signal,123766,a267b851bb421193cc58cd51618a2e19e7e736529b682cf2ad22dfb9184db12c,true
301,BIS/SQI,cases/301/bis_sqi.signal,123048,d652864cafa2a6d58759dd5d91364399c3133c637ed8092e779c151dee2d6b86,true
301,Orchestra/PPF20_RATE,cases/301/ppf20_rate.signal,338992,3f11a1622d1ad7e25ee1ccd21e8e1b9f6dbfcef674cca125e0356b001992f245,true
301,Orchestra/RFTN20_RATE,cases/301/rftn20_rate.signal,326554,3facee2d458cc2252571694b3270526090a6b8e31282c4d4827704867b774f08,true
302,BIS/BIS,cases/302/bis.signal,89895,bc06205f5d2e8a75c20b11a48e2941afd45baa4d5281de1b0745838bd6f248dc,true
302,BIS/SQI,cases/302/bis_sqi.signal,89328,bd2319571ab569e7d9c8b588ddcf0362c3526ee56c49c929d4d682121a1234dd,true
302,Orchestra/PPF20_RATE,cases/302/ppf20_rate.signal,291603,93d686131ae65d464f80bbf73a550a091b144d5be6fdc4e16b66ee3c46ac953e,true
302,Orchestra/RFTN20_RATE,cases/302/rftn20_rate.signal,274412,cdad05a0600dec79322043a5fe4a665070de359d3b1b214f1ea9b053e77b8214,true
305,BIS/BIS,cases/305/bis.signal,145476,e3059a740d4cfe4bc3ae23a8480c5bac2e5a73012c8be9f42360557dc40ec774,true
305,BIS/SQI,cases/305/bis_sqi.signal,144551,890d4cb94050b21c714d77e1006adcd3d67ad7886bc079c7511032ebedabe839,true
305,Orchestra/PPF20_RATE,cases/305/ppf20_rate.signal,507421,bf9345da64ff49f71d0b3f09f16e7103a7d79383f25081b7df56c56027fe8fd8,true
305,Orchestra/RFTN20_RATE,cases/305/rftn20_rate.signal,497425,bf25cfbfbccc7e9ef334d99af475e15cb98e2119726efcc69736e225f8438428,true
306,BIS/BIS,cases/306/bis.signal,261952,fc229bb57caad057c5006ea664eb6c6b6fb470147cfae0a066d292aaf97b43fa,true
306,BIS/SQI,cases/306/bis_sqi.signal,257629,392a466b8adb9fc35d5ec9e978ef3bed7bd7ee1db3fc27642c5d3b57df798090,true
306,Orchestra/PPF20_RATE,cases/306/ppf20_rate.signal,969301,3868293117cbb32a29a0bbbe26e64cb59a792ca912b102375ab8989911fedcb9,true
306,Orchestra/RFTN20_RATE,cases/306/rftn20_rate.signal,977183,311f5c9fe3ea2edf174138c112842e75b10aec530418d58d72dc6d917e05237b,true
309,BIS/BIS,cases/309/bis.signal,127720,1ad72b36ea1804e19c1dd78d275ee2dffaceb53763e05f9561893e26a421f2bb,true
309,BIS/SQI,cases/309/bis_sqi.signal,126867,adcfccbb1ac6c8eec5410ebd5a5b416fc40505e77c2ced8f1d04a1ea0c1fa703,true
309,Orchestra/PPF20_RATE,cases/309/ppf20_rate.signal,340703,4375968d57ac6c64d65cb1edd12d0f939dcba3b25ebe79cc0562c92bb1bcf4fc,true
309,Orchestra/RFTN20_RATE,cases/309/rftn20_rate.signal,339782,697c625f1c102af117d79ec1b41c6f19d17a15269c7e8e0439e02d8faa55d5ee,true
310,BIS/BIS,cases/310/bis.signal,148109,b8e17f400be84ad9b1a4cd1500b311b7bc7d4ef08cd876f65143150a07e11385,true
310,BIS/SQI,cases/310/bis_sqi.signal,148382,e0054e6422f8ac5613b43eaf368350a4a8f70b9651b8a2238d85f7ae140a5d40,true
